Journal,ISSN,eISSN,Press,Area,Rate
B. E. Journal of Theoretical Economics (Advances),2194-6124,1935-1704,Gruyter,Theory,C
B. E. Journal of Theoretical Economics (Contributions),2194-6124,1935-1704,Gruyter,Theory,C
B. E. Journal of Theoretical Economics (Frontiers),2194-6124,1935-1704,Gruyter,Theory,C
B. E. Journal of Theoretical Economics (Topics),2194-6124,1935-1704,Gruyter,Theory,C
British Journal of Educational Technology,0007-1013,1467-8535,Wiley,InfSyst,C
Building Research and Information,0961-3218,1466-4321,Taylor,Sector,C
Business History,0007-6791,1743-7938,Taylor,History,C
Business History Review,0007-6805,2044-768X,Cambridge,History,C
Business Horizons,0007-6813,NA,Elsevier,GenMan,C
Canadian Journal of Agricultural Economics / Revue Canadienne d'Agroeconomie,0008-3976,1744-7976,Wiley,AgrEnvEn,C
Career Development International,1362-0436,NA,Emerald,HRM,C
CESifo Economic Studies,1610-241X,1612-7501,Oxford,PubPolicy,C
Cliometrica: Journal of Historical Economics and Econometric History,1863-2505,1863-2513,Springer,History,C
Common Market Law Review,0165-0750,NA,Kluwer,Law,C
Computer Supported Cooperative Work,0925-9724,1573-7551,Springer,InfSyst,C
Computers and Industrial Engineering,0360-8352,NA,Elsevier,ProdOper,C
Computers in Human Behavior,0747-5632,NA,Elsevier,SocialSc,C
Corporate Governance - An International Review,0964-8410,1467-8683,Wiley,OrgPsy,C
Corporate Social Responsibility and Environmental Management,1535-3958,1535-3966,Wiley,Sector,C
Data Base for Advances in Information Systems,0095-0033,NA,ACM,InfSyst,C
De Economist - Netherlands Economic Review,0013-063X,1572-9982,Springer,GenEcon,C
Decision Analysis,1545-8490,1545-8504,Informs,OR,C
Discrete Optimization,1572-5286,NA,Elsevier,OR,C
Dynamic Games and Applications,2153-0785,2153-0793,Springer,Theory,C
Econ Journal Watch,1933-527X,NA,Other,GenEcon,C
Economic and Industrial Democracy,0143-831X,1461-7099,Sage,SocialSc,C
Economic Modelling,0264-9993,NA,Elsevier,GenEcon,C
Economic Record,0013-0249,1475-4932,Wiley,GenEcon,C
Economics and Philosophy,0266-2671,1474-0028,Cambridge,Theory,C
Economics and Politics,0954-1985,1468-0343,Wiley,PubPolicy,C
Economics Letters,0165-1765,NA,Elsevier,GenEcon,C
Economics of Transition,0967-0750,1468-0351,Wiley,DevTrans,C
Electronic Commerce Research and Applications,1567-4223,NA,Elsevier,InfSyst,C
Electronic Markets,1019-6781,1422-8890,Springer,InfSyst,C
Emerging Markets Review,1566-0141,NA,Elsevier,DevTrans,C
Empirical Economics,0377-7332,1435-8921,Springer,EconStat,C
Enterprise and Society,1467-2227,1467-2235,Oxford,History,C
Entrepreneurship and Regional Development,0898-5626,1464-5114,Taylor,InnovEntrSB,C
Environment and Development Economics,1355-770X,1469-4395,Cambridge,AgrEnvEn,C
Environment and Planning B: Planning and Design,0265-8135,1472-3417,Sage,UrbReg,C
Environment and Planning C: Government and Policy,0263-774X,1472-3425,Sage,PubAdm,C
Eurasian Geography and Economics,1538-7216,1938-2863,Taylor,PolitRel,C
European Accounting Review,0963-8180,1468-4497,Taylor,AccAud,C
European Journal of Development Research,0957-8811,1743-9728,Palgrave,DevTrans,C
European Journal of Health Economics,1618-7598,1439-6637,Springer,Health,C
European Journal of Industrial Relations,0959-6801,1461-7129,Sage,HRM,C
European Journal of Marketing,0309-0566,NA,Emerald,Mkt,C
European Journal of Political Economy,0176-2680,NA,Elsevier,PolitRel,C
European Management Journal,0263-2373,NA,Elsevier,GenMan,C
European Management Review,1740-4754,1740-4762,Wiley,GenMan,C
Federal Reserve Bank of St. Louis Review,0014-9187,NA,Other,Macro,C
Feminist Economics,1354-5701,1466-4372,Taylor,SocialSc,C
Fiscal Studies,0143-5671,1475-5890,Wiley,PubPolicy,C
Geneva Risk and Insurance Review,1554-964X,1554-9658,Palgrave,MarkFin,C
German Economic Review,1465-6485,1468-0475,Wiley,GenEcon,C
Group Decision and Negotiation,0926-2644,1572-9907,Springer,OR,C
"Group Dynamics: Theory, Research and Practice",1089-2699,1930-7802,APA,OrgPsy,C
Growth and Change: A Journal of Urban and Regional Policy,0017-4815,1468-2257,Wiley,UrbReg,C
Health Care Management Review,0361-6274,1550-5030,Other,Health,C
Health Care Management Science,1386-9620,1572-9389,Springer,Health,C
"Health Economics, Policy and Law",1744-1331,1099-1050,Wiley,Health,C
Health Policy,0168-8510,NA,Elsevier,Health,C
Higher Education,0018-1560,1573-174X,Springer,SocialSc,C
History of Political Economy,0018-2702,1527-1919,Other,History,C
Housing Studies,0267-3037,1466-1810,Taylor,UrbReg,C
IEEE Transactions on Engineering Management,0018-9391,1558-0040,IEEE,ProdOper,C
"IEEE Transactions on Systems, Man and Cybernetics: Systems 216",8-2216 108,3-4427,IEEE,ProdOper,C
Industrial Marketing Management,0019-8501,NA,Elsevier,Mkt,C
Industry and Innovation,1366-2716,1469-8390,Taylor,InnovEntrSB,C
Information Economics and Policy,0167-6245,NA,Elsevier,Micro,C
Information Processing and Management,0306-4573,NA,Elsevier,InfSyst,C
Information Society,0197-2243,1087-6537,Taylor,InfSyst,C
Information Systems Frontiers,1387-3326,1572-9419,Springer,InfSyst,C
Information Technology and People,0959-3845,NA,Emerald,InfSyst,C
Interfaces,0092-2102,1526-551X,Informs,OR,C
International Business Review,0969-5931,NA,Elsevier,StratIM,C
"International Environmental Agreements: Politics, Law and Economics",1567-9764,1573-1553,Springer,AgrEnvEn,C
International Finance,1367-0271,1468-2362,Wiley,Macro,C
International Journal of Advertising,0265-0487,1759-3948,Taylor,Mkt,C
International Journal of Contemporary Hospitality Management,0959-6119,NA,Emerald,Leisure,C
International Journal of Economic Theory,1742-7355,1742-7363,Wiley,Theory,C
International Journal of Health Care Finance and Economics,1389-6563,1573-6962,Springer,Health,C
International Journal of Hospitality Management,0278-4319,NA,Elsevier,Leisure,C
International Journal of Human Resource Management,0958-5192,1466-4399,Taylor,HRM,C
International Journal of Human-Computer Studies,1071-5819,1095-9300,Elsevier,InfSyst,C
International Journal of Information Management,0268-4012,NA,Elsevier,InfSyst,C
International Journal of Intercultural Relations,0147-1767,NA,Elsevier,PolitRel,C
International Journal of Logistics Management,0957-4093,NA,Emerald,ProdOper,C
International Journal of Manpower,0143-7720,NA,Emerald,HRM,C
International Journal of Operations and Production Management,0144-3577,NA,Emerald,ProdOper,C
International Journal of Physical Distribution and Logistics Management,0960-0035,NA,Emerald,ProdOper,C
International Journal of Production Research,0020-7543,1366-588X,Taylor,ProdOper,C
International Journal of Project Management,0263-7863,NA,Elsevier,ProdOper,C
International Journal of Selection and Assessment,0965-075X,1468-2389,Wiley,HRM,C
International Journal of Tourism Research,1099-2340,1522-1970,Wiley,Leisure,C
International Labour Review,0020-7780,1564-913X,Wiley,LaborPop,C
International Marketing Review,0265-1335,NA,Emerald,Mkt,C
International Public Management Journal,1096-7494,1559-3169,Taylor,PubAdm,C
International Regional Science Review,0160-0176,1552-6925,Sage,UrbReg,C
International Review of Administrative Sciences,0020-8523,1461-7226,Sage,PubAdm,C
International Small Business Journal,0266-2426,1741-2870,Sage,InnovEntrSB,C
International Tax and Public Finance,0927-5940,1573-6970,Springer,PubPolicy,C
International Transactions in Operational Research,0969-6016,1475-3995,Wiley,OR,C
Internet Research,1066-2243,NA,Emerald,InfSyst,C
Journal of Accounting and Public Policy,0278-4254,NA,Elsevier,AccAud,C
Journal of Advanced Transportation,0197-6729,2042-3195,Wiley,Transport,C
Journal of Advertising Research,0021-8499,1740-1909,Cambridge,Mkt,C
Journal of African Economies,0963-8024,1464-3723,Oxford,DevTrans,C
Journal of Agricultural and Resource Economics,1068-5502,NA,Other,AgrEnvEn,C
Journal of Air Transport Management,0969-6997,NA,Elsevier,Transport,C
Journal of Applied Behavioral Science,0021-8863,1552-6879,Sage,OrgPsy,C
Journal of Applied Probability,0021-9002,NA,Other,EconStat,C
Journal of Applied Social Psychology,0021-9029,1559-1816,Wiley,SocialPsy,C
Journal of Business and Industrial Marketing,0885-8624,NA,Emerald,Mkt,C
Journal of Business Ethics,0167-4544,1573-0697,Springer,Sector,C
Journal of Business Finance and Accounting,0306-686X,1468-5957,Wiley,Fin,C
Journal of Business Research,0148-2963,NA,Elsevier,GenMan,C
Journal of Career Assessment,1069-0727,1552-4590,Sage,HRM,C
Journal of Competition Law and Economics,1744-6414,1744-6422,Oxford,Law,C
Journal of Consumer Affairs,0022-0078,1745-6606,Wiley,Mkt,C
Journal of Cultural Economics,0885-2545,1573-6997,Springer,Leisure,C
Journal of Derivatives,1074-1240,2168-8524,IIJ,MarkFin,C
Journal of Development Studies,0022-0388,1743-9140,Taylor,DevTrans,C
Journal of Economics,0931-8658,1617-7134,Springer,GenEcon,C
Journal of Engineering and Technology Management,0923-4748,NA,Elsevier,ProdOper,C
Journal of Environmental Planning and Management,0964-0568,1360-0559,Taylor,AgrEnvEn,C
Journal of Evolutionary Economics,0936-9937,1432-1386,Springer,Micro,C
Journal of Forecasting,0277-6693,1099-131X,Wiley,EconStat,C
Journal of Forest Economics,1104-6899,NA,Elsevier,AgrEnvEn,C
Journal of Futures Markets,0270-7314,1096-9934,Wiley,MarkFin,C
Journal of Happiness Studies,1389-4978,1573-7780,Springer,SocialSc,C
"Journal of Health Politics, Policy and Law",0361-6878,1527-1927,Other,Health,C
Journal of Housing Economics,1051-1377,1096-0791,Elsevier,UrbReg,C
Journal of Institutional and Theoretical Economics,0932-4569,1614-0559,Mohr,Law,C
Journal of International Development,0954-1748,1099-1328,Wiley,DevTrans,C
Journal of International Economic Law,1369-3034,1464-3758,Oxford,Law,C
Journal of Language and Social Psychology,0261-927X,1552-6526,Sage,SocialPsy,C
Journal of Law and Society,0263-323X,1467-6478,Wiley,Law,C
Journal of Macroeconomics,0164-0704,NA,Elsevier,Macro,C
Journal of Managerial Psychology,0268-3946,NA,Emerald,HRM,C
Journal of Mathematical Economics,0304-4068,NA,Elsevier,Theory,C
Journal of Nonparametric Statistics,1048-5252,1029-0311,Taylor,EconStat,C
Journal of Pension Economics and Finance,1474-7472,1475-3022,Cambridge,MarkFin,C
Journal of Personnel Psychology,1866-5888,2190-5150,Other,HRM,C
Journal of Portfolio Management,0095-4918,2168-8656,IIJ,MarkFin,C
Journal of Productivity Analysis,0895-562X,1573-0441,Springer,Micro,C
Journal of Public Economic Theory,1097-3923,1097-3923,Wiley,PubPolicy,C
Journal of Purchasing and Supply Management,1478-4092,NA,Elsevier,ProdOper,C
Journal of Real Estate Finance and Economics,0895-5638,1573-045X,Springer,MarkFin,C
Journal of Risk Research,1366-9877,1466-4461,Taylor,Sector,C
Journal of Safety Research,0022-4375,NA,Elsevier,ProdOper,C
Journal of Service Management,1757-5818,NA,Emerald,Sector,C
Journal of Services Marketing,0887-6045,NA,Emerald,Mkt,C
Journal of Social Policy,0047-2794,1469-7823,Cambridge,SocialSc,C
Journal of Statistical Planning and Inference,0378-3758,NA,Elsevier,EconStat,C
Journal of Systems and Software,0164-1212,NA,Elsevier,InfSyst,C
Journal of Technology Transfer,0892-9912,1573-7047,Springer,InnovEntrSB,C
Journal of the Japanese and International Economies,0889-1583,1095-8681,Elsevier,Macro,C
Journal of the Operational Research Society,0160-5682,1476-9360,Palgrave,OR,C
Journal of Transport Economics and Policy,0022-5258,NA,Other,Transport,C
Journal of Transport Geography,0966-6923,NA,Elsevier,Transport,C
Journal of Travel Research,0047-2875,1552-6763,Sage,Leisure,C
Knowledge Management Research and Practice,1477-8238,1477-8246,Palgrave,OrgPsy,C
Knowledge-Based Systems,0950-7051,NA,Elsevier,InfSyst,C
Labour / Le Travail,0700-3862,1911-4842,Other,History,C
Leisure Sciences,0149-0400,1466-4496,Taylor,Leisure,C
Leisure Studies,0261-4367,2151-2221,Taylor,Leisure,C
Local Government Studies,0300-3930,1743-9388,Taylor,PubAdm,C
Management Accounting Research,1044-5005,1096-1224,Elsevier,AccAud,C
Management Communication Quarterly,0893-3189,1552-6798,Sage,OrgPsy,C
Management Decision,0025-1747,NA,Emerald,GenMan,C
Management International Review,0938-8249,1861-8901,Springer,StratIM,C
Management Learning,1350-5076,1461-7307,Sage,HRM,C
Marine Policy,0308-597X,NA,Elsevier,AgrEnvEn,C
Marine Resource Economics,0738-1360,2334-5985,Chicago,AgrEnvEn,C
Maritime Economics and Logistics,1479-2931,1479-294X,Palgrave,Transport,C
Marketing Theory,1470-5931,1741-301X,Sage,Mkt,C
Mathematical Social Sciences,0165-4896,NA,Elsevier,Theory,C
MIS Quarterly Executive,1540-1960,1540-1979,Other,InfSyst,C
Monthly Labor Review,0098-1818,NA,Other,LaborPop,C
Naval Research Logistics,0894-069X,1520-6750,Wiley,ProdOper,C
"New Technology, Work and Employment",0268-1072,1468-005X,Wiley,HRM,C
Nonprofit and Voluntary Sector Quarterly,0899-7640,1552-7395,Sage,PubAdm,C
Operations Research Letters,0167-6377,NA,Elsevier,OR,C
Organizational Dynamics,0090-2616,NA,Elsevier,OrgPsy,C
Parliamentary Affairs,0031-2290,1460-2482,Oxford,PolitRel,C
Personnel Review,0048-3486,NA,Emerald,HRM,C
Policy and Politics,0305-5736,1470-8442,Wiley,PolitRel,C
Population,0032-4663,1957-7966,Other,LaborPop,C
Population Research and Policy Review,0167-5923,1573-7829,Springer,LaborPop,C
Psychology and Marketing,0742-6046,1520-6793,Wiley,Mkt,C
Public Administration and Development,0271-2075,1099-162X,Wiley,PubAdm,C
Public Management Review,1471-9037,1471-9045,Taylor,PubAdm,C
Public Money and Management,0954-0962,1467-9302,Taylor,PubAdm,C
Rationality and Society,1043-4631,1461-7358,Sage,SocialSc,C
Resources Policy,0301-4207,NA,Elsevier,AgrEnvEn,C
Review of African Political Economy,0305-6244,1740-1720,Taylor,DevTrans,C
Review of Derivatives Research,1380-6645,1573-7144,Springer,MarkFin,C
Review of Economic Design,1434-4742,1434-4750,Springer,Theory,C
Review of Economics of the Household,1569-5239,1573-7152,Springer,LaborPop,C
Review of Industrial Organization,0889-938X,1573-7160,Springer,Micro,C
Review of International Economics,0965-7576,1467-9396,Wiley,Macro,C
Review of Network Economics,2194-5993,1446-9022,Gruyter,Micro,C
Review of Public Personnel Administration,0734-371X,1552-759X,Sage,PubAdm,C
Review of World Economics / Weltwirtschaftliches Archiv,1610-2878,1610-2886,Springer,DevTrans,C
Scandinavian Actuarial Journal,0346-1238,1651-2030,Taylor,MarkFin,C
Scandinavian Journal of Management,0956-5221,NA,Elsevier,GenMan,C
Scientometrics,0138-9130,1588-2861,Springer,InnovEntrSB,C
Scottish Journal of Political Economy,0036-9292,1467-9485,Wiley,GenEcon,C
Small Group Research,1046-4964,1552-8278,Sage,OrgPsy,C
Social Policy and Administration,0144-5596,1467-9515,Wiley,PubAdm,C
Southern Economic Journal,0038-4038,2325-8012,Wiley,GenEcon,C
Spatial Economic Analysis,1742-1772,1742-1780,Taylor,UrbReg,C
Statistics and Probability Letters,0167-7152,NA,Elsevier,EconStat,C
Stress and Health,1532-2998,1532-3005,Wiley,SocialPsy,C
Studies in Nonlinear Dynamics and Econometrics,1081-1826,1558-3708,Gruyter,EconStat,C
Third World Quarterly,0143-6597,1360-2241,Taylor,PolitRel,C
Tijdschrift Voor Economische en Sociale Geografie,0040-747X,1467-9663,Wiley,UrbReg,C
Time and Society,0961-463X,1461-7463,Sage,SocialSc,C
Transport Policy,0967-070X,NA,Elsevier,Transport,C
Utilities Policy,0957-1787,NA,Elsevier,Sector,C
Voluntas - International Journal of Voluntary and Nonprofit Organizations,0957-8765,1573-7888,Springer,PubAdm,C
World Trade Review,1474-7456,1475-3138,Cambridge,Macro,C
Accounting and Finance,0810-5391,1467-629X,Wiley,AccAud,D
Accounting Forum,0155-9982,NA,Elsevier,AccAud,D
Accounting History,1032-3732,1749-3374,Sage,AccAud,D
Accounting History Review,0958-5206,2155-286X,Taylor,AccAud,D
"Accounting, Auditing and Accountability Journal",0951-3574,NA,Emerald,AccAud,D
Action Research,1476-7503,1741-2617,Sage,OrgPsy,D
Advances in Accounting,0882-6110,1046-5715,Elsevier,AccAud,D
Advances in Strategic Management,0742-3322,NA,Emerald,StratIM,D
Agribusiness,0742-4477,1520-6297,Wiley,AgrEnvEn,D
American Business Law Journal,0002-7766,1744-1714,Wiley,Law,D
American Journal of Economics and Sociology,0002-9246,1536-7150,Wiley,SocialSc,D
Annals of Economics and Finance,1529-7373,NA,Other,GenEcon,D
Annals of Finance,1614-2446,1614-2454,Springer,Fin,D
Applied Economics Letters,1350-4851,1466-4291,Taylor,GenEcon,D
Asia Europe Journal,1610-2932,1612-1031,Springer,PolitRel,D
Asia Pacific Business Review,1360-2381,1743-792X,Taylor,StratIM,D
Asia Pacific Journal of Tourism Research,1094-1665,1741-6507,Taylor,Leisure,D
Asian Business and Management,1472-4782,1476-9328,Palgrave,StratIM,D
Asian Economic Journal,1351-3958,1467-8381,Wiley,Macro,D
Asian Economic Papers,1535-3516,1536-0083,MIT,DevTrans,D
Asia-Pacific Journal of Human Resources,1038-4111,1744-7941,Wiley,HRM,D
Australasian Journal of Information Systems,1449-8618,1326-2238,Other,InfSyst,D
Australian Accounting Review,1035-6908,1835-2561,Wiley,AccAud,D
Australian Economic History Review,0004-8992,1467-8446,Wiley,History,D
Australian Economic Papers,0004-900X,1467-8454,Wiley,GenEcon,D
Australian Economic Review,0004-9018,1467-8462,Wiley,GenEcon,D
Australian Journal of Management,0312-8962,1327-2020,Sage,GenMan,D
Behavioral Research in Accounting,1050-4753,1558-8009,AAA,AccAud,D
Behaviour and Information Technology,0144-929X,1362-3001,Taylor,InfSyst,D
British Accounting Review,0890-8389,1095-8347,Elsevier,AccAud,D
Bulletin of Economic Research,0307-3378,1467-8586,Wiley,GenEcon,D
Business and Information Systems Engineering,2363-7005,1867-0202,Springer,InfSyst,D
Business and Politics,1369-5258,1469-3569,Gruyter,PolitRel,D
Business Ethics: A European Review,0962-8770,1467-8608,Wiley,Sector,D
Business Process Management Journal,1463-7154,NA,Emerald,GenMan,D
Canadian Journal of Administrative Sciences / Revue Canadienne d'Etudes des Sciences de l'Administration,0825-0383,1936-4490,Wiley,GenMan,D
Canadian Journal of Development Studies / Revue Canadienne d'Etudes du Développement,0225-5189,2158-9100,Taylor,DevTrans,D
Career Development Quarterly,0889-4019,2161-0045,Wiley,HRM,D
CEPAL Review,0251-2920,0252-0257,Other,DevTrans,D
China Agricultural Economic Review,1756-137X,NA,Emerald,AgrEnvEn,D
China and World Economy,1671-2234,1749-124X,Wiley,Macro,D
Communications of the Association for Information Systems,1529-3181,NA,AIS,InfSyst,D
Comparative Economic Studies,0888-7233,1478-3320,Palgrave,DevTrans,D
Competition and Change,1024-5294,1477-2221,Sage,PolitRel,D
Comptabilité Contrôle Audit,1262-2788,2313-514X,Other,AccAud,D
Computational Economics,0927-7099,1572-9974,Springer,OR,D
Construction Management and Economics,0144-6193,1466-433X,Taylor,Sector,D
"Consumption, Markets and Culture",1025-3866,1477-223X,Taylor,Mkt,D
Contemporary Economic Policy,1074-3529,1465-7287,Wiley,PubPolicy,D
Cornell Hospitality Quarterly,1938-9655,1938-9663,Sage,Leisure,D
Critical Perspectives on Accounting,1045-2354,1095-9955,Elsevier,AccAud,D
Critical Perspectives on International Business,1742-2043,NA,Emerald,StratIM,D
Cross Cultural Management: An International Journal,1352-7606,NA,Emerald,StratIM,D
Culture and Organization,1475-9551,1477-2760,Taylor,OrgPsy,D
Current Issues in Tourism,1368-3500,1747-7603,Taylor,Leisure,D
Decisions in Economics and Finance,1593-8883,1129-6569,Springer,Theory,D
Defence and Peace Economics,1024-2694,1476-8267,Taylor,PolitRel,D
Developing Economies,0012-1533,1746-1049,Wiley,DevTrans,D
Eastern Economic Journal,0094-5056,1939-4632,Palgrave,GenEcon,D
Eastern European Economics,0012-8775,1557-9298,Taylor,DevTrans,D
Economic and Social Review,0012-9984,NA,Other,GenEcon,D
Economic Development Quarterly,0891-2424,1552-3543,Sage,UrbReg,D
Economic Systems,0939-3625,NA,Elsevier,DevTrans,D
"Economics - the Open Access, Open Assessment E-journal",1864-6042,1864-6042,Other,GenEcon,D
Economics Bulletin,1545-2921,NA,Other,GenEcon,D
Economics of Governance,1435-6104,1435-8131,Springer,PubAdm,D
Economics of Innovation and New Technology,1043-8599,1476-8364,Taylor,InnovEntrSB,D
Economie et Statistique,0336-1454,1777-5574,Other,EconStat,D
Education Economics,0964-5292,1469-5782,Taylor,LaborPop,D
Educational Management Administration and Leadership,1741-1432,1741-1440,Sage,HRM,D
eJournal of Tax Research,1448-2398,NA,Other,PubPolicy,D
Electronic Commerce Research,1389-5753,1572-9362,Springer,InfSyst,D
Employee Relations,0142-5455,NA,Emerald,HRM,D
Energy Studies Review,0843-4379,NA,Other,AgrEnvEn,D
Engineering Economics / Inzinerine Ekonomika,1392-2785,2029-5839,Other,GenMan,D
"Engineering, Construction and Architectural Management",0969-998X,1365-232X,Emerald,Sector,D
European Business Organization Law Review,1566-7529,1741-6205,Cambridge,Law,D
European Business Review,0955-534X,NA,Emerald,GenMan,D
European Journal of Finance,1351-847X,1466-4364,Taylor,Fin,D
European Journal of Law and Economics,0929-1261,1572-9990,Springer,Law,D
European Journal of the History of Economic Thought,0967-2567,1469-5936,Taylor,History,D
European Planning Studies,0965-4313,1469-5944,Taylor,UrbReg,D
European Sport Management Quarterly,1618-4742,1746-031X,Taylor,Leisure,D
Europe-Asia Studies,0966-8136,1465-3427,Taylor,PolitRel,D
Evaluation,1356-3890,1461-7153,Sage,SocialSc,D
Event Management,1525-9951,1943-4308,Other,Leisure,D
Finance Research Letters,1544-6123,NA,Elsevier,Fin,D
Financial History Review,0968-5650,1474-0052,Cambridge,History,D
"Financial Markets, Institutions and Instruments",0963-8008,1468-0416,Wiley,MarkFin,D
Financial Review,0732-8516,1540-6288,Wiley,Fin,D
Finanzarchiv,0015-2218,1614-0974,Mohr,PubPolicy,D
Foundations and Trends in Accounting,1554-0642,1554-0650,Now,AccAud,D
Futures,0016-3287,NA,Elsevier,SocialSc,D
Geneva Papers on Risk and Insurance - Issues and Practice,1018-5895,1468-0440,Palgrave,MarkFin,D
History of Economic Ideas,1122-8792,NA,Other,History,D
Human Resource Development Quarterly,1044-8004,1532-1096,Wiley,HRM,D
IEEE Transactions on Professional Communication,0361-1434,1558-1500,IEEE,InfSyst,D
IMA Journal of Management Mathematics,1471-678X,1471-6798,Oxford,GenMan,D
Industrial Law Journal,0305-9332,1464-3669,Oxford,Law,D
Industrial Management and Data Systems,0263-5577,NA,Emerald,ProdOper,D
INFOR: Information Systems and Operational Research,0315-5986,1916-0615,Other,OR,D
Information Systems and E-Business Management,1617-9846,1617-9854,Springer,InfSyst,D
Information Systems Management,1058-0530,1934-8703,Taylor,InfSyst,D
Information Technology for Development,0268-1102,1554-0170,Taylor,InfSyst,D
"Innovation: Management, Policy and Practice",1447-9338,NA,Taylor,InnovEntrSB,D
International Economics,2110-7017,NA,Elsevier,Macro,D
International Game Theory Review,0219-1989,1793-6675,World,Theory,D
International Journal of Accounting,1094-4060,NA,Elsevier,AccAud,D
International Journal of Accounting Information Systems,1467-0895,1740-8016,Elsevier,AccAud,D
International Journal of Auditing,1090-6738,1099-1123,Wiley,AccAud,D
International Journal of Computer Integrated Manufacturing,0951-192X,1362-3052,Taylor,ProdOper,D
International Journal of Conflict Management,1044-4068,NA,Emerald,HRM,D
International Journal of Consumer Studies,1470-6423,1470-6431,Wiley,Mkt,D
International Journal of Entrepreneurial Behavior and Research,1355-2554,NA,Emerald,InnovEntrSB,D
International Journal of Finance and Economics,1076-9307,1099-1158,Wiley,Macro,D
International Journal of Heritage Studies,1352-7258,1470-3610,Taylor,Leisure,D
International Journal of Innovation Management,1363-9196,1757-5877,World,InnovEntrSB,D
International Journal of Logistics Research and Applications,1367-5567,1469-848X,Taylor,ProdOper,D
International Journal of Manufacturing Technology and Management,1368-2148,1741-5195,Inderscience,ProdOper,D
International Journal of Market Research,1470-7853,1470-7853,Other,Mkt,D
International Journal of Public Administration,0190-0692,1532-4265,Taylor,PubAdm,D
International Journal of Public Sector Management,0951-3558,NA,Emerald,PubAdm,D
International Journal of Quality and Reliability Management,0265-671X,NA,Emerald,ProdOper,D
International Journal of Retail and Distribution Management,0959-0552,NA,Emerald,Mkt,D
International Journal of Shipping and Transport Logistics,1756-6517,1756-6525,Inderscience,ProdOper,D
International Journal of Sports Marketing and Sponsorship,1464-6668,NA,Other,Leisure,D
International Journal of Strategic Property Management,1648-715X,1648-9179,Taylor,Sector,D
International Journal of Technology Management,0267-5730,1741-5276,Inderscience,ProdOper,D
International Journal of the Economics of Business,1357-1516,1466-1829,Taylor,Micro,D
International Journal of Theoretical and Applied Finance,0219-0249,1793-6322,World,MarkFin,D
International Journal of Transport Economics,0391-8440,NA,Other,Transport,D
International Labor and Working-Class History,0147-5479,1471-6445,Cambridge,History,D
International Review of Economics and Finance,1059-0560,NA,Elsevier,Macro,D
International Review of Finance,1369-412X,1468-2443,Wiley,Fin,D
International Review of Financial Analysis,1057-5219,NA,Elsevier,Fin,D
International Review of Law and Economics,0144-8188,NA,Elsevier,Law,D
International Studies of Management and Organization,0020-8825,1558-0911,Taylor,StratIM,D
Issues in Accounting Education,0739-3172,1558-7983,AAA,HRM,D
Japan and the World Economy,0922-1425,NA,Elsevier,Macro,D
Japanese Economic Review,1352-4739,1468-5876,Wiley,GenEcon,D
Journal of Accounting Literature,0737-4607,NA,Elsevier,AccAud,D
"Journal of Accounting, Auditing and Finance",0148-558X,NA,Sage,AccAud,D
Journal of Agricultural and Food Industrial Organization,2194-5896,1542-0485,Gruyter,AgrEnvEn,D
Journal of Applied Accounting Research,0967-5426,NA,Emerald,AccAud,D
Journal of Applied Business Research,0892-7626,2157-8834,Other,GenMan,D
Journal of Applied Economics,1514-0326,1667-6726,Elsevier,GenEcon,D
Journal of Applied Statistics,0266-4763,1360-0532,Taylor,EconStat,D
Journal of Asset Management,1470-8272,1479-179X,Palgrave,MarkFin,D
Journal of Australian Political Economy,0156-5826,NA,Other,PolitRel,D
Journal of Behavioral and Experimental Economics,2214-8043,NA,Elsevier,Theory,D
Journal of Behavioral FInance,1542-7560,1542-7579,Taylor,Fin,D
Journal of Brand Management,1350-231X,1479-1803,Palgrave,Mkt,D
Journal of Business and Technical Communication,1050-6519,1552-4574,Sage,InfSyst,D
Journal of Business Economics and Management,1611-1699,2029-4433,Taylor,DevTrans,D
Journal of Business Strategy,0275-6668,NA,Emerald,StratIM,D
Journal of Business-to-Business Marketing,1051-712X,1547-0628,Taylor,Mkt,D
Journal of Career Development,0894-8453,1573-3548,Sage,HRM,D
Journal of Computer Information Systems,0887-4417,NA,Other,InfSyst,D
Journal of Construction Engineering and Management,0733-9364,1943-7862,ASCE,Sector,D
Journal of Contemporary Accounting and Economics,1815-5669,NA,Elsevier,AccAud,D
Journal of Demographic Economics,2054-0892,2054-0906,Cambridge,LaborPop,D
Journal of Economic Education,0022-0485,2152-4068,Taylor,LaborPop,D
Journal of Economic Integration,1225-651X,1976-5525,Other,Macro,D
Journal of Economic Interaction and Coordination,1860-711X,1860-7128,Springer,Theory,D
Journal of Economic Issues,0021-3624,1946-326X,Taylor,SocialSc,D
Journal of Economic Methodology,1350-178X,1469-9427,Taylor,Theory,D
Journal of Economic Policy Reform,1748-7870,1748-7889,Taylor,PubPolicy,D
Journal of Economics and Statistics / Jahrbücher für Nationalökonomie und Statistik,0021-4027,NA,Other,GenEcon,D
Journal of Electronic Commerce Research,1938-9027,1526-6133,Other,InfSyst,D
Journal of Employment Counseling,0022-0787,2161-1920,Wiley,HRM,D
Journal of Enterprise Information Management,1741-0398,NA,Emerald,InfSyst,D
Journal of Financial Research,0270-2592,1475-6803,Wiley,Fin,D
Journal of Fixed Income,1059-8596,2168-8648,IIJ,MarkFin,D
